title,url,description,grade_level,resource_type
Ressource d'apprentissage de la petite enfance,https://ophea.net/fr/ressource-dapprentissage-de-la-petite-enfance,"La Ressource d'apprentissage de la petite enfance d'Ophea aide les enseignants de la maternelle et du jardin d'enfants, les éducateurs de la petite enfance et les équipes responsables de l'apprentissage de la petite enfance à mettre en œuvre le Programme de la maternelle et du jardin d'enfants.",Petite enfance,"Activité, Ressource"
50 GIF d'activités physiques d'Ophea,https://ophea.net/fr/50-gif-dactivites-physiques-dophea,"Faites travailler votre coeur avec les 50 GIF d'activités physiques d'Ophea! Utilisez ces cartes pour l'activité physique quotidienne (APQ), l'éducation physique, ou les défis d'activité physique en présentiel, virtuel ou hybride.","Petite enfance, 1e, 2e, 3e, ...","Activité, Ressource"
Bien bouger,https://ophea.net/fr/bien-bouger,"Bien bouger est une ressource conçue pour aider à l'enseignement des concepts offrant les fondements du savoir-faire physique, avec 19 affiches servant de diagrammes de référence pour l'enseignement d'habiletés motrices et de stratégies de jeux.","1e, 2e, 3e, 4e, ...","Affiche, Ressource"
Favoriser une vie saine chez les élèves à l'aide de l'art dramatique,https://ophea.net/fr/favoriser-une-vie-saine-chez-les-eleves-laide-de-lart-dramatique,"Favoriser une vie saine chez les élèves à l'aide de l'art dramatique a été conçue pour appuyer le personnel enseignant du secondaire à planifier et explorer de nouvelles approches faisant appel à des activités d'art dramatique pour l'enseignement des notions relatives à une vie saine.","9e, 10e, 11e, 12e","Activité, Ressource"
Ressources d'éducation sur le cannabis,https://ophea.net/fr/ressources-deducation-sur-le-cannabis,"Les Ressources d'éducation sur le cannabis offrent aux enseignants et aux directions d'écoles des renseignements fondés sur des données probantes sur l'usage de substances (plus précisément le cannabis) pour aider les élèves à prendre des décisions éclairées concernant leur santé et leur bien-être.","1e, 2e, 3e, 4e, ...",Ressource
Alimenter la réflexion pour des choix plus sains,https://ophea.net/fr/alimenter-la-reflexion-pour-des-choix-plus-sains,"Alimenter la réflexion pour des choix plus sains aide à intégrer la littératie alimentaire et l'étude des médias aux discussions sur l'alimentation saine, permettant aux élèves d'acquérir les habiletés requises pour faire des choix alimentaires plus sains.","1e, 2e, 3e, 4e, ...","Activité, Plan de leçon, Ressource"
L'APQ chaque jour,https://ophea.net/fr/lapq-chaque-jour,"L'APQ chaque jour est une ressource gratuite conçue pour appuyer la mise en œuvre de l'activité physique quotidienne (APQ) afin d'améliorer le bien-être et le rendement des élèves et promouvoir une vie saine et active.","1e, 2e, 3e, 4e, ...","Affiche, Ressource, Vidéo"
VITALITÉ,https://ophea.net/fr/vitalite,"VITALITÉ est une série de vidéos qui enseignera aux enfants et aux jeunes l'importance du savoir-faire physique et en santé d'une façon à la fois divertissante et stimulante.","Petite enfance, 1e, 2e, 3e, ...","Ressource, Vidéo"
Le bien-être et ton portefeuille,https://ophea.net/fr/le-bien-etre-et-ton-portefeuille,"Le bien-être et ton portefeuille est une ressource gratuite sur la littératie financière conçue pour aider les enfants et les jeunes à acquérir une bonne compréhension des concepts de base d'ordre financier.","1e, 2e, 3e, 4e, ...","Activité, Ressource, Vidéo"
Changer et Grandir de Always,https://ophea.net/fr/changer-et-grandir-de-always,"Les ressources Changer et Grandir de Always peuvent être téléchargées gratuitement et soutiennent l'enseignement de concepts associés à la croissance et au développement chez les adolescents, à l'hygiène corporelle et à une vie saine et active.","5e, 6e, 7e, 8e","Activité, Plan de leçon, Ressource"
